term_str,n,p,i,n_chars,max_pos,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster,dfidf,mean_tfidf,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment,polarity
elf,188,0.00016811727431820844,12.538244408141315,3,NN,5,"{'JJ', 'NNP', 'PRP', 'VB', 'NN'}",0,elf,elf,elf,27.324640232130065,0.0023587249786321796,1,0,1,1,0,0,0,0,0,0,0,0
friend,188,0.00016811727431820844,12.538244408141315,6,NN,4,"{'JJ', 'NNP', 'VBP', 'NN'}",0,friend,friend,friend,28.32064303766298,0.0010299483815220138,0,0,0,0,1,0,1,0,0,1,1,1
flying,186,0.00016632879267652537,12.553674448710922,6,VBG,3,"{'VBG', 'NNP', 'NN'}",0,fli,fli,fly,30.271890187915794,0.0011111355705049346,0,0,0,1,0,0,1,0,0,0,1,1
angry,184,0.0001645403110348423,12.569271303761939,5,JJ,3,"{'JJ', 'VBZ', 'NN'}",0,angri,angri,angry,28.141840836158458,0.0009549922161458484,1,0,1,0,0,1,0,0,0,0,-1,-1
smiling,184,0.0001645403110348423,12.569271303761939,7,VBG,2,"{'VBG', 'NN'}",0,smile,smile,smil,30.147446070286758,0.0011781300465383126,0,0,0,0,1,0,1,0,0,0,1,1
broke,179,0.00016006910693063464,12.609017482554696,5,VBD,3,"{'VBD', 'NNP', 'NN'}",0,broke,broke,brok,28.32064303766298,0.0009015458703463277,0,0,0,1,0,1,0,1,0,0,-1,-1
broken,178,0.0001591748661097931,12.617099828852554,6,VBN,6,"{'VBD', 'JJ', 'NNP', 'VB', 'VBN', 'NN'}",0,broken,broken,brok,28.99600438136326,0.000967449943842018,1,0,0,1,0,1,0,1,0,0,-1,-1
lesson,175,0.0001564921436472685,12.641622147986624,6,NN,3,"{'JJ', 'NNP', 'NN'}",0,lesson,lesson,lesson,31.586081784845316,0.0016820398830404244,0,1,0,0,0,0,1,0,0,1,1,1
dangerous,174,0.00015559790282642698,12.649889763970224,9,JJ,2,"{'JJ', 'NNP'}",0,danger,danger,dang,29.45963272556705,0.001017125183595566,0,0,0,1,0,1,0,0,0,0,-1,-1
prophet,170,0.00015202093954306084,12.68344232368125,7,NNP,2,"{'VB', 'NNP'}",0,prophet,prophet,prophet,31.711403131835983,0.001521326716156381,0,1,0,0,0,0,1,0,0,1,1,1
horrible,169,0.0001511266987222193,12.691953823536767,8,JJ,3,"{'JJ', 'NNP', 'VBP'}",0,horribl,horribl,horr,29.154696620675697,0.000932927817729959,1,0,1,1,0,1,0,0,0,0,-1,-1
forced,168,0.00015023245790137777,12.700515837040191,6,VBN,4,"{'VBD', 'JJ', 'VBN', 'NNP'}",0,forc,forc,forc,29.30925265953634,0.0008998694225387763,0,0,0,1,0,1,0,0,0,0,-1,-1
teacher,166,0.0001484439762596947,12.717793828472027,7,NN,4,"{'RB', 'VBZ', 'VBP', 'NN'}",0,teacher,teacher,teach,31.401902809110187,0.0012253518895920645,0,0,0,0,0,0,1,0,0,1,1,1
laugh,166,0.0001484439762596947,12.717793828472027,5,NN,6,"{'JJ', 'NNP', 'IN', 'VB', 'NN', 'RB'}",0,laugh,laugh,laugh,29.45963272556705,0.0009517116726857159,0,0,0,0,1,0,1,0,1,0,1,1
young,166,0.0001484439762596947,12.717793828472027,5,JJ,3,"{'JJ', 'NNP', 'NN'}",0,young,young,young,31.661047153421045,0.0013452926229999339,0,1,0,0,1,0,1,0,1,0,1,1
important,164,0.00014665549461801163,12.735281255200869,9,JJ,2,"{'JJ', 'NNP'}",0,import,import,import,30.507299756481594,0.0009825643308522642,0,0,0,0,0,0,1,0,0,1,1,1
shot,164,0.00014665549461801163,12.735281255200869,4,NN,8,"{'VBD', 'JJ', 'NNP', 'VBP', 'VBN', 'NN', 'RB', 'VBZ'}",0,shot,shot,shot,29.30925265953634,0.0008921319714507265,1,0,0,1,0,1,0,1,1,0,-1,-1
defense,164,0.00014665549461801163,12.735281255200869,7,NNP,2,"{'NNP', 'NN'}",0,defens,defens,defens,31.771000793797562,0.0013649305744315888,1,1,0,1,0,0,1,0,0,0,1,1
hurt,163,0.00014576125379717008,12.744105105587876,4,VB,7,"{'VBD', 'NNS', 'VBP', 'VB', 'VBN', 'NN', 'VBZ'}",0,hurt,hurt,hurt,30.507299756481594,0.0010938591811672615,1,0,0,1,0,1,0,1,0,0,-1,-1
quiet,162,0.00014486701297632856,12.752983256934328,5,JJ,5,"{'JJ', 'NNP', 'VBP', 'VB', 'NN'}",0,quiet,quiet,quiet,29.45963272556705,0.0009008167258231494,0,0,0,0,0,0,1,1,0,0,1,1
late,158,0.00014129004969296242,12.789052511641849,4,JJ,2,"{'JJ', 'RB'}",0,late,late,lat,30.147446070286758,0.0009680023797391802,0,0,0,0,0,1,0,1,0,0,-1,-1
worse,156,0.00013950156805127935,12.807431040956704,5,JJR,6,"{'JJR', 'JJ', 'VBP', 'VB', 'NN', 'RBR'}",0,wors,wors,wors,30.72442189058675,0.001020156441818405,0,0,0,1,0,1,0,1,0,0,-1,-1
expect,154,0.00013771308640959628,12.82604671912405,6,VBP,3,"{'VB', 'JJ', 'VBP'}",0,expect,expect,expect,30.922863252063785,0.0010326879247138127,0,1,0,0,0,0,1,0,1,1,1,1
pleased,152,0.0001359246047679132,12.844905746375368,7,JJ,3,"{'VBD', 'JJ', 'VBN'}",0,pleas,pleas,pleas,30.82600291390193,0.0009993013837639752,0,0,0,0,1,0,1,0,0,0,1,1
laughter,150,0.00013413612312623014,12.864014569323071,8,NN,2,"{'RBR', 'NN'}",0,laughter,laughter,laught,31.521323674791518,0.0010932189100172714,0,1,0,0,1,0,1,0,1,0,1,1
fat,150,0.00013413612312623014,12.864014569323071,3,NNP,3,"{'JJ', 'NNP', 'NN'}",0,fat,fat,fat,31.79198039422605,0.0013177292906772977,0,0,1,0,0,1,0,1,0,0,-1,-1
laughing,146,0.000130559159842864,12.903008700938935,8,VBG,3,"{'JJ', 'VBG', 'NN'}",0,laugh,laugh,laugh,31.01495102733436,0.0009655378858398872,0,0,0,0,1,0,1,0,0,0,1,1
fear,146,0.000130559159842864,12.903008700938935,4,NN,5,"{'JJ', 'VBP', 'VB', 'NN', 'RB'}",0,fear,fear,fear,31.01495102733436,0.0010377632011645654,1,0,0,1,0,1,0,0,0,0,-1,-1
tree,146,0.000130559159842864,12.903008700938935,4,NN,5,"{'JJ', 'NNP', 'VBP', 'VB', 'NN'}",0,tree,tree,tre,31.324917725335315,0.0013771009877103673,1,1,1,0,1,0,1,0,1,1,1,1
truth,145,0.00012966491902202247,12.912924169804018,5,NN,2,"{'NNP', 'NN'}",0,truth,truth,tru,31.401902809110187,0.0010673766332064058,0,0,0,0,0,0,1,0,0,1,1,1
fight,143,0.0001278764373803394,12.932961923040564,5,NN,7,"{'VBD', 'JJ', 'NNP', 'VBP', 'VB', 'NN', 'RB'}",0,fight,fight,fight,31.751901045266305,0.001141436994037599,1,0,0,1,0,1,0,0,0,0,-1,-1
mad,143,0.0001278764373803394,12.932961923040564,3,JJ,8,"{'JJ', 'NNP', 'NNS', 'VBP', 'VB', 'VBN', 'NN', 'RB'}",0,mad,mad,mad,30.922863252063785,0.0009654102333653307,1,0,1,1,0,1,0,1,0,0,-1,-1
alive,140,0.0001251937149178148,12.963550242873985,5,JJ,4,"{'JJ', 'NN', 'NNP', 'VBP'}",0,aliv,aliv,al,31.401902809110187,0.0010312581858999306,0,1,0,0,1,0,1,0,0,1,1,1
terrible,139,0.00012429947409697327,12.973892187095444,8,JJ,2,"{'JJ', 'NN'}",0,terribl,terribl,terr,31.334497764287946,0.0010193032037513646,1,0,1,1,0,1,0,1,0,0,-1,-1
goblin,139,0.00012429947409697327,12.973892187095444,6,NN,5,"{'VBD', 'JJ', 'NNP', 'VBN', 'NN'}",0,goblin,goblin,goblin,23.422211430769423,0.0019403551888055892,0,0,1,1,0,1,0,0,0,0,-1,-1
hospital,138,0.00012340523327613172,12.984308803040783,8,NN,3,"{'JJ', 'NNP', 'NN'}",0,hospit,hospit,hospit,31.676144338494975,0.0012433849292355721,0,0,0,1,0,0,0,1,0,1,0,0
worry,137,0.0001225109924552902,12.994801176858426,5,NN,6,"{'JJ', 'NNP', 'VBP', 'VB', 'VBN', 'NN'}",0,worri,worri,worry,31.184595574839342,0.000959996074443006,0,1,0,1,0,1,0,1,0,0,-1,-1
brother,136,0.00012161675163444866,13.005370418568614,7,NN,3,"{'RB', 'NN', 'PRP$'}",0,brother,brother,broth,31.324917725335315,0.0015213086505455797,0,0,0,0,0,0,1,0,0,1,1,1
surprise,134,0.00011982826999276559,13.02674406936118,8,NN,5,"{'VBD', 'NNP', 'VB', 'NN', 'RB'}",0,surpris,surpris,surpr,30.018570299403514,0.0008126750047934516,0,0,0,1,1,0,1,0,1,0,1,1
safe,134,0.00011982826999276559,13.02674406936118,4,JJ,4,"{'JJ', 'NNP', 'VBP', 'NN'}",0,safe,safe,saf,31.619812660015604,0.0010960956409449842,0,0,0,0,1,0,1,0,0,1,1,1
worried,132,0.00011803978835108252,13.048439140460498,7,JJ,5,"{'VBD', 'JJ', 'NNP', 'VBP', 'VBN'}",0,worri,worri,worry,31.184595574839342,0.0009227619369069833,0,0,0,0,0,1,0,1,0,0,-1,-1
gray,132,0.00011803978835108252,13.048439140460498,4,JJ,3,"{'JJ', 'NNP', 'NN'}",0,gray,gray,gray,31.573216370131174,0.0010011812443180446,0,0,1,0,0,0,0,1,0,0,0,0
